Time coordinates[0] coordinates[1] coordinates[2] velocity_probe[0] velocity_probe[1] velocity_probe[2]
24000.000000 2280.000000 1000.000000 30.000000 6.820698 0.135600 0.075962 
24000.000000 2280.000000 1000.000000 150.000000 8.696408 -0.239348 0.023998 
24000.000000 2280.000000 1000.000000 270.000000 9.892207 -1.027472 -0.015647 
24000.400000 2280.000000 1000.000000 30.000000 6.764152 0.088970 0.057259 
24000.400000 2280.000000 1000.000000 150.000000 8.665867 -0.138888 0.003904 
24000.400000 2280.000000 1000.000000 270.000000 9.868955 -1.066326 -0.039557 
24000.800000 2280.000000 1000.000000 30.000000 6.713038 0.045612 0.041685 
24000.800000 2280.000000 1000.000000 150.000000 8.636544 -0.038106 -0.009918 
24000.800000 2280.000000 1000.000000 270.000000 9.855671 -1.108388 -0.071273 
24001.200000 2280.000000 1000.000000 30.000000 6.669899 0.010136 0.029138 
24001.200000 2280.000000 1000.000000 150.000000 8.614616 0.034932 -0.009580 
24001.200000 2280.000000 1000.000000 270.000000 9.854699 -1.139025 -0.104046 
24001.600000 2280.000000 1000.000000 30.000000 6.635581 -0.013292 0.020068 
24001.600000 2280.000000 1000.000000 150.000000 8.601603 0.066138 0.013954 
24001.600000 2280.000000 1000.000000 270.000000 9.866242 -1.148921 -0.129081 
24002.000000 2280.000000 1000.000000 30.000000 6.609012 -0.022095 0.015638 
24002.000000 2280.000000 1000.000000 150.000000 8.594591 0.061748 0.064339 
24002.000000 2280.000000 1000.000000 270.000000 9.888749 -1.143320 -0.142401 
24002.400000 2280.000000 1000.000000 30.000000 6.587827 -0.015713 0.017293 
24002.400000 2280.000000 1000.000000 150.000000 8.591720 0.040953 0.133362 
24002.400000 2280.000000 1000.000000 270.000000 9.919711 -1.134482 -0.147641 
24002.800000 2280.000000 1000.000000 30.000000 6.568875 0.004172 0.026833 
24002.800000 2280.000000 1000.000000 150.000000 8.595686 0.021022 0.201260 
24002.800000 2280.000000 1000.000000 270.000000 9.956502 -1.130614 -0.151949 
24003.200000 2280.000000 1000.000000 30.000000 6.549966 0.034344 0.045019 
24003.200000 2280.000000 1000.000000 150.000000 8.613491 0.020125 0.246563 
24003.200000 2280.000000 1000.000000 270.000000 9.996506 -1.135386 -0.163067 
24003.600000 2280.000000 1000.000000 30.000000 6.530184 0.071024 0.070993 
24003.600000 2280.000000 1000.000000 150.000000 8.649040 0.048279 0.258366 
24003.600000 2280.000000 1000.000000 270.000000 10.036380 -1.148134 -0.184381 
24004.000000 2280.000000 1000.000000 30.000000 6.510245 0.110778 0.101984 
24004.000000 2280.000000 1000.000000 150.000000 8.696972 0.100594 0.242072 
24004.000000 2280.000000 1000.000000 270.000000 10.072565 -1.163358 -0.209628 
24004.400000 2280.000000 1000.000000 30.000000 6.491905 0.151079 0.133545 
24004.400000 2280.000000 1000.000000 150.000000 8.742357 0.156146 0.212562 
24004.400000 2280.000000 1000.000000 270.000000 10.101546 -1.172207 -0.224121 
24004.800000 2280.000000 1000.000000 30.000000 6.477008 0.190367 0.160909 
24004.800000 2280.000000 1000.000000 150.000000 8.767969 0.194008 0.181921 
24004.800000 2280.000000 1000.000000 270.000000 10.119099 -1.160203 -0.203570 
24005.200000 2280.000000 1000.000000 30.000000 6.466676 0.227404 0.179927 
24005.200000 2280.000000 1000.000000 150.000000 8.762676 0.201600 0.154615 
24005.200000 2280.000000 1000.000000 270.000000 10.119643 -1.110568 -0.132177 
24005.600000 2280.000000 1000.000000 30.000000 6.461137 0.260519 0.187908 
24005.600000 2280.000000 1000.000000 150.000000 8.725079 0.177553 0.128989 
24005.600000 2280.000000 1000.000000 270.000000 10.102470 -1.017795 -0.021408 
24006.000000 2280.000000 1000.000000 30.000000 6.459609 0.287930 0.183961 
24006.000000 2280.000000 1000.000000 150.000000 8.662560 0.128675 0.100356 
