Wind [m/s],Pitch [deg],Power [MW],Power Coefficient [-],Aero Power Coefficient [-],Rotor Speed [rpm],Tip Speed [m/s],Thrust [MN],Thrust Coefficient [-],Torque [MNm],Torque Coefficient [-],Blade Moment [MNm],Blade Moment Coefficient [-]
3,3.924855313,0.042733312,0.056744155,0.059302916,5,63.41769634,0.202686395,0.80742173,0.085294856,0.002822187,5.97186338,0.197593591
3.54953237,3.915395639,0.292585981,0.23456242,0.245139527,5,63.41769634,0.275741954,0.784655297,0.583995904,0.013802985,7.850723381,0.185555099
4.067900771,3.707107224,0.607966543,0.323807552,0.338408983,5,63.41769634,0.36082951,0.781771245,1.213489346,0.021837392,10.04843889,0.180827049
4.553906848,3.345810494,0.981097693,0.372458741,0.389253997,5,63.41769634,0.454284751,0.785377072,1.958251834,0.028119381,12.4675897,0.179027487
5.006427063,2.905440884,1.40198084,0.400568453,0.418631258,5,63.41769634,0.550920308,0.788045584,2.798326377,0.033246664,14.97173481,0.177877837
5.424415288,2.410500467,1.85867086,0.417505346,0.436331885,5,63.41769634,0.648293688,0.789922119,3.709870737,0.037545545,17.49907823,0.17709847
5.806905228,1.894301337,2.337575997,0.428006012,0.447306057,5,63.41769634,0.74345309,0.790464625,4.665756037,0.041203874,19.97291502,0.176383306
6.153012649,1.380271215,2.824097302,0.434644889,0.4542443,5,63.41769634,0.8340882,0.789868339,5.63684306,0.044336951,22.33348107,0.175665431
6.461937428,0.881734473,3.30306456,0.438881386,0.458671834,5,63.41769634,0.918616371,0.788727582,6.592852353,0.047016831,24.54029765,0.175008777
6.732965398,0.412260096,3.759432328,0.441592276,0.461504966,5,63.41769634,0.995559931,0.787359348,7.503753506,0.049291416,26.55481673,0.174435969
6.965470002,-0.014525441,4.178637714,0.443304138,0.463294021,5,63.41769634,1.063523904,0.785895402,8.340479269,0.051191241,28.34039798,0.173944456
7.158913742,0,4.54719121,0.444344872,0.463654294,5.086085136,64.50956054,1.112524276,0.778275899,8.908510309,0.051762629,29.62149581,0.172114804
7.312849418,0,4.855342682,0.445121262,0.463654294,5.195449486,65.89668758,1.160883126,0.778275899,9.295742591,0.051762629,30.90907353,0.172114804
7.426921164,0,5.091537139,0.445595523,0.463654294,5.276492314,66.92459746,1.197382385,0.778275899,9.588009496,0.051762629,31.88088392,0.172114804
7.500865272,0,5.248453137,0.445877517,0.463654294,5.329026266,67.5909139,1.221343897,0.778275899,9.779880707,0.051762629,32.51887075,0.172114804
7.534510799,0,5.320793207,0.445994544,0.463654294,5.352929894,67.89409651,1.232325276,0.778275899,9.867813822,0.051762629,32.81125526,0.172114804
7.541241633,0,5.335345498,0.446017936,0.463654294,5.357711848,67.95474862,1.234528016,0.778275899,9.885452204,0.051762629,32.86990427,0.172114804
7.58833327,0,5.43790563,0.446180743,0.463654294,5.391168331,68.37909522,1.249994291,0.778275899,10.00929802,0.051762629,33.28170132,0.172114804
7.675676842,0,5.631253025,0.446450527,0.463654294,5.453221997,69.16615534,1.278935378,0.778275899,10.24104304,0.051762629,34.05227171,0.172114804
7.803070431,0,5.920980626,0.446802304,0.463654294,5.543729393,70.31410945,1.321740784,0.778275899,10.58380626,0.051762629,35.19198631,0.172114804
7.970219531,0,6.315115602,0.447186617,0.463654294,5.662481285,71.82030374,1.378973132,0.778275899,11.04209286,0.051762629,36.71582521,0.172114804
8.176737731,0,6.824470067,0.447555681,0.463654294,5.809203146,73.68125622,1.451360746,0.778275899,11.62173487,0.051762629,38.64318037,0.172114804
8.422147605,0,7.462846389,0.447872402,0.463654294,5.983555786,75.89266478,1.539788012,0.778275899,12.32981399,0.051762629,40.99759899,0.172114804
8.70588182,0,8.238359448,0.447631643,0.463654294,6.185136141,78.44941713,1.645283612,0.778275899,13.17456736,0.051762629,43.80647027,0.172114804
